"","Day","Trajectory","Flow","Treatment","Tank..","Coral","F0","Fm","Yield"
"151",5,"Control","Low","Control Low","1","F..1",0.16138,0.44472,0.6374
"152",5,"Control","Low","Control Low","1","F..2",0.14784,0.40924,0.6382
"153",5,"Control","Low","Control Low","1","F..3",0.1549,0.3606,0.5698
"154",5,"Control","Low","Control Low","2","F..1",0.14568,0.36216,0.5978
"155",5,"Control","Low","Control Low","2","F..2",0.1497,0.3838,0.6096
"156",5,"Control","Low","Control Low","2","F..3",0.14696,0.3844,0.6162
"157",5,"Protective","High","Protective High","1","F..1",0.14176,0.39882,0.6434
"158",5,"Protective","High","Protective High","1","F..2",0.13068,0.34198,0.6162
"159",5,"Protective","High","Protective High","1","F..3",0.14548,0.37852,0.6152
"160",5,"Protective","High","Protective High","2","F..1",0.16128,0.4109,0.604
"161",5,"Protective","High","Protective High","2","F..2",0.14892,0.35314,0.5768
"162",5,"Protective","High","Protective High","2","F..3",0.13834,0.3662,0.62
"163",5,"Protective","Low","Protective Low","1","F..1",0.14244,0.39656,0.6396
"164",5,"Protective","Low","Protective Low","1","F..2",0.1562,0.44482,0.6478
"165",5,"Protective","Low","Protective Low","1","F..3",0.15136,0.36246,0.58
"166",5,"Protective","Low","Protective Low","2","F..1",0.13784,0.33214,0.5824
"167",5,"Protective","Low","Protective Low","2","F..2",0.16198,0.4038,0.5986
"168",5,"Protective","Low","Protective Low","2","F..3",0.14588,0.36352,0.598
"169",5,"Single","High","Single High","1","F..1",0.1392,0.29118,0.5192
"170",5,"Single","High","Single High","1","F..2",0.15894,0.36774,0.5584
"171",5,"Single","High","Single High","1","F..3",0.16166,0.38618,0.579
"172",5,"Single","High","Single High","2","F..1",0.15656,0.35228,0.5544
"173",5,"Single","High","Single High","2","F..2",0.17274,0.33128,0.4756
"174",5,"Single","High","Single High","2","F..3",0.17324,0.3748,0.5344
"175",5,"Single","Low","Single Low","1","F..1",0.1944,0.37502,0.4794
"176",5,"Single","Low","Single Low","1","F..2",0.15628,0.34962,0.5522
"177",5,"Single","Low","Single Low","1","F..3",0.18934,0.37422,0.4888
"178",5,"Single","Low","Single Low","2","F..1",0.15668,0.39588,0.6046
"179",5,"Single","Low","Single Low","2","F..2",0.16188,0.37138,0.5628
"180",5,"Single","Low","Single Low","2","F..3",0.16768,0.42678,0.6064
"181",6,"Control","High","Control High","1","F..1",0.15274,0.39784,0.6158
"182",6,"Control","High","Control High","1","F..2",0.1348,0.33764,0.5984
"183",6,"Control","High","Control High","1","F..3",0.15568,0.42832,0.6374
"184",6,"Control","High","Control High","2","F..1",0.15816,0.30934,0.4886
"185",6,"Control","High","Control High","2","F..2",0.1607,0.43402,0.6292
"186",6,"Control","High","Control High","2","F..3",0.17314,0.42658,0.5942
"187",6,"Control","Low","Control Low","1","F..1",0.15442,0.33322,0.5336
"188",6,"Control","Low","Control Low","1","F..2",0.17156,0.45108,0.6198
"189",6,"Control","Low","Control Low","1","F..3",0.14804,0.415,0.6428
"190",6,"Control","Low","Control Low","2","F..1",0.14882,0.39226,0.6188
"191",6,"Control","Low","Control Low","2","F..2",0.15344,0.40852,0.6236
"192",6,"Control","Low","Control Low","2","F..3",0.14626,0.39148,0.6254
"193",6,"Protective","High","Protective High","1","F..1",0.15218,0.35746,0.51942
"194",6,"Protective","High","Protective High","1","F..2",0.1441,0.35274,0.6006
"195",6,"Protective","High","Protective High","1","F..3",0.1444,0.33904,0.5812
"196",6,"Protective","High","Protective High","2","F..1",0.17146,0.38462,0.5526
"197",6,"Protective","High","Protective High","2","F..2",0.15412,0.38018,0.593
