"","Timepoint","Species","Trajectory","Tank","Flow","Coral","HM","Square","Count","Dilution"
"273","TP2","AA","Single","T1","Low","#3","1",3,20,10
"274","TP2","AA","Single","T1","Low","#3","1",4,17,10
"275","TP2","AA","Single","T1","Low","#3","1",5,18,10
"276","TP2","AA","Single","T1","Low","#3","2",1,17,10
"277","TP2","AA","Single","T1","Low","#3","2",2,16,10
"278","TP2","AA","Single","T1","Low","#3","2",3,15,10
"279","TP2","AA","Single","T1","Low","#3","2",4,13,10
"280","TP2","AA","Single","T1","Low","#3","2",5,15,10
"281","TP2","AA","Single","T1","Low","#3","3",1,11,10
"282","TP2","AA","Single","T1","Low","#3","3",2,19,10
"283","TP2","AA","Single","T1","Low","#3","3",3,13,10
"284","TP2","AA","Single","T1","Low","#3","3",4,5,10
"285","TP2","AA","Single","T1","Low","#3","3",5,12,10
"286","TP2","AA","Single","T1","Low","#3","4",1,16,10
"287","TP2","AA","Single","T1","Low","#3","4",2,13,10
"288","TP2","AA","Single","T1","Low","#3","4",3,9,10
"289","TP2","AA","Single","T1","Low","#3","4",4,15,10
"290","TP2","AA","Single","T1","Low","#3","4",5,13,10
"291","TP2","AA","Single","T1","Low","#3","5",1,7,10
"292","TP2","AA","Single","T1","Low","#3","5",2,12,10
"293","TP2","AA","Single","T1","Low","#3","5",3,13,10
"294","TP2","AA","Single","T1","Low","#3","5",4,15,10
"295","TP2","AA","Single","T1","Low","#3","5",5,13,10
"296","TP2","AA","Single","T1","Low","#3","6",1,20,10
"297","TP2","AA","Single","T1","Low","#3","6",2,11,10
"298","TP2","AA","Single","T1","Low","#3","6",3,12,10
"299","TP2","AA","Single","T1","Low","#3","6",4,16,10
"300","TP2","AA","Single","T1","Low","#3","6",5,13,10
"301","TP2","AA","Single","T2","High","#2","1",1,17,10
"302","TP2","AA","Single","T2","High","#2","1",2,10,10
"303","TP2","AA","Single","T2","High","#2","1",3,9,10
"304","TP2","AA","Single","T2","High","#2","1",4,7,10
"305","TP2","AA","Single","T2","High","#2","1",5,12,10
"306","TP2","AA","Single","T2","High","#2","2",1,8,10
"307","TP2","AA","Single","T2","High","#2","2",2,13,10
"308","TP2","AA","Single","T2","High","#2","2",3,10,10
"309","TP2","AA","Single","T2","High","#2","2",4,10,10
"310","TP2","AA","Single","T2","High","#2","2",5,14,10
"311","TP2","AA","Single","T2","High","#2","3",1,10,10
"312","TP2","AA","Single","T2","High","#2","3",2,8,10
"313","TP2","AA","Single","T2","High","#2","3",3,10,10
"314","TP2","AA","Single","T2","High","#2","3",4,13,10
"315","TP2","AA","Single","T2","High","#2","3",5,6,10
"316","TP2","AA","Single","T2","High","#2","4",1,6,10
"317","TP2","AA","Single","T2","High","#2","4",2,11,10
"318","TP2","AA","Single","T2","High","#2","4",3,8,10
"319","TP2","AA","Single","T2","High","#2","4",4,7,10
"320","TP2","AA","Single","T2","High","#2","4",5,11,10
"321","TP2","AA","Single","T2","High","#2","5",1,13,10
"322","TP2","AA","Single","T2","High","#2","5",2,10,10
"323","TP2","AA","Single","T2","High","#2","5",3,10,10
"324","TP2","AA","Single","T2","High","#2","5",4,10,10
"325","TP2","AA","Single","T2","High","#2","5",5,12,10
"326","TP2","AA","Single","T2","High","#2","6",1,13,10
"327","TP2","AA","Single","T2","High","#2","6",2,10,10
"328","TP2","AA","Single","T2","High","#2","6",3,15,10
"329","TP2","AA","Single","T2","High","#2","6",4,9,10
"330","TP2","AA","Single","T2","High","#2","6",5,9,10
"331","TP2","AA","Single","T2","High","#3","1",1,14,10
"332","TP2","AA","Single","T2","High","#3","1",2,16,10
"333","TP2","AA","Single","T2","High","#3","1",3,17,10
"334","TP2","AA","Single","T2","High","#3","1",4,15,10
"335","TP2","AA","Single","T2","High","#3","1",5,20,10
"336","TP2","AA","Single","T2","High","#3","2",1,12,10
"337","TP2","AA","Single","T2","High","#3","2",2,15,10
"338","TP2","AA","Single","T2","High","#3","2",3,13,10
"339","TP2","AA","Single","T2","High","#3","2",4,12,10
"340","TP2","AA","Single","T2","High","#3","2",5,12,10
"341","TP2","AA","Single","T2","High","#3","3",1,13,10
"342","TP2","AA","Single","T2","High","#3","3",2,13,10
"343","TP2","AA","Single","T2","High","#3","3",3,1,10
"344","TP2","AA","Single","T2","High","#3","3",4,15,10
"345","TP2","AA","Single","T2","High","#3","3",5,13,10
"346","TP2","AA","Single","T2","High","#3","4",1,12,10
"347","TP2","AA","Single","T2","High","#3","4",2,9,10
"348","TP2","AA","Single","T2","High","#3","4",3,12,10
"349","TP2","AA","Single","T2","High","#3","4",4,17,10
"350","TP2","AA","Single","T2","High","#3","4",5,12,10
"351","TP2","AA","Single","T2","High","#3","5",1,12,10
"352","TP2","AA","Single","T2","High","#3","5",2,11,10
"353","TP2","AA","Single","T2","High","#3","5",3,18,10
"354","TP2","AA","Single","T2","High","#3","5",4,10,10
"355","TP2","AA","Single","T2","High","#3","5",5,13,10
"356","TP2","AA","Single","T2","High","#3","6",1,10,10
"357","TP2","AA","Single","T2","High","#3","6",2,11,10
"358","TP2","AA","Single","T2","High","#3","6",3,7,10
"359","TP2","AA","Single","T2","High","#3","6",4,11,10
