"","Day","Treatment","Tank","Date","Flow","Y_1","Y_2","Y_3"
"128",17,"AMB",2,"20.03.19","High",0.625666666666667,0.616,0.629333333333333
"129",17,"HT",1,"20.03.19","High",0.474666666666667,0.455666666666667,0.453333333333333
"130",17,"HT",2,"20.03.19","High",0.573666666666667,0.529,0.571
"131",18,"AMB",1,"21.03.19","High",0.597666666666667,0.615666666666667,0.570666666666667
"132",18,"AMB",2,"21.03.19","High",0.617,0.626333333333333,0.617666666666667
"133",18,"HT",1,"21.03.19","High",0.340333333333333,0.31,0.430666666666667
"134",18,"HT",2,"21.03.19","High",0.534666666666667,0.538666666666667,0.507
"135",19,"AMB",1,"22.03.19","High",0.604,0.64,0.62
"136",19,"AMB",2,"22.03.19","High",0.597666666666667,0.625666666666667,0.638
"137",19,"HT",1,"22.03.19","High",0.202,0.212333333333333,0.270333333333333
"138",19,"HT",2,"22.03.19","High",0.49,0.392666666666667,0.536333333333333
"139",20,"HT",1,"23.03.19","High",0.312,0.244666666666667,0.264666666666667
"140",20,"HT",2,"23.03.19","High",0.51,0.418333333333333,0.478
"141",20,"AMB",1,"23.03.19","High",0.518333333333333,0.636,0.581666666666667
"142",20,"AMB",2,"23.03.19","High",0.630333333333333,0.619,0.637666666666667
